date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016-08-25,2224.51,2226.0,2222.15,2205.01,218191.05,-10.06,-0.45,2236.556,2244.909,2201.041,236117.1,342212.61,261839.25
2016-08-24,2242.91,2244.88,2232.21,2227.56,181217.88,-9.74,-0.43,2241.07,2240.4,2198.124,260239.78,346978.67,263867.41
2016-08-23,2235.39,2256.33,2241.95,2232.44,230239.03,4.82,0.21,2245.376,2234.189,2195.212,285693.94,346247.9,273773.92
2016-08-22,2249.08,2253.59,2237.13,2235.01,261930.59,-12.21,-0.54,2248.526,2227.528,2192.24,362144.99,346048.75,271465.0
2016-08-19,2241.67,2254.49,2249.34,2230.33,289006.94,4.62,0.21,2258.632,2219.782,2188.361,437249.49,336631.43,265632.54
2016-08-18,2253.12,2274.45,2244.72,2235.05,338804.47,-9.02,-0.4,2253.262,2209.716,2183.756,448308.12,323895.17,260376.79
2016-08-17,2260.93,2270.37,2253.74,2241.94,308488.66,-3.96,-0.17,2239.73,2199.628,2180.409,433717.56,304970.38,252459.94
2016-08-16,2293.81,2302.33,2257.7,2253.41,612494.31,-29.96,-1.31,2223.002,2188.833,2176.078,406801.87,289428.41,244316.47
2016-08-15,2227.08,2310.28,2287.66,2225.62,637453.06,65.17,2.93,2206.53,2177.908,2171.963,329952.5,240771.09,224596.32
2016-08-12,2177.8,2222.69,2222.49,2175.85,344300.12,45.43,2.09,2180.932,2163.898,2166.979,236013.37,197181.18,207487.26
2016-08-11,2168.13,2205.88,2177.06,2168.13,265851.66,6.96,0.32,2166.17,2157.173,2165.474,199482.21,181465.9,201064.87
2016-08-10,2175.13,2179.61,2170.1,2169.13,173910.19,-5.24,-0.24,2159.526,2155.848,2166.382,176223.2,180756.15,199848.56
2016-08-09,2159.31,2176.7,2175.34,2157.76,228247.45,15.67,0.73,2154.664,2156.235,2167.767,172054.95,201299.94,212792.95
2016-08-08,2147.7,2159.95,2159.67,2137.52,167757.41,10.99,0.51,2149.286,2156.952,2169.017,151589.68,196881.25,221507.44
2016-08-05,2142.34,2159.14,2148.68,2137.31,161644.34,4.84,0.23,2146.864,2156.94,2168.82,158348.99,194633.65,227424.19
2016-08-04,2145.66,2146.6,2143.84,2130.17,149556.62,-1.95,-0.09,2148.176,2157.795,2168.824,163449.58,196858.41,229021.37
2016-08-03,2140.15,2149.89,2145.79,2136.6,153068.94,-2.66,-0.12,2152.17,2161.189,2169.975,185289.11,199949.5,235032.39
2016-08-02,2145.82,2151.29,2148.45,2138.19,125921.11,0.89,0.04,2157.806,2163.322,2171.041,230544.93,199204.53,239648.17
2016-08-01,2151.54,2155.79,2147.56,2136.11,201553.95,-7.68,-0.36,2164.618,2166.017,2172.062,242172.81,208421.56,249505.98
2016-07-29,2163.64,2166.85,2155.24,2151.93,187147.3,-8.57,-0.4,2167.016,2170.059,2172.848,230918.31,217793.34,254859.3
2016-07-28,2160.16,2173.08,2163.81,2153.89,258754.23,-10.16,-0.47,2167.414,2173.774,2171.44,230267.23,220663.84,253568.33
2016-07-27,2182.72,2186.08,2173.97,2125.27,379348.06,-8.54,-0.39,2170.208,2176.916,2169.382,214609.9,218940.96,250807.88
2016-07-26,2156.81,2183.06,2182.51,2156.77,184060.52,22.96,1.06,2168.838,2179.298,2166.832,167864.14,224285.95,246568.34
2016-07-25,2155.32,2167.51,2159.55,2152.09,145281.44,2.32,0.11,2167.416,2181.082,2162.809,174670.3,246133.63,246159.42
2016-07-22,2175.98,2177.44,2157.23,2154.36,183891.91,-20.55,-0.94,2173.102,2180.699,2159.626,204668.38,260214.73,247139.58
2016-07-21,2168.48,2185.62,2177.78,2168.48,180467.55,10.66,0.49,2180.134,2179.852,2155.579,211060.45,261184.33,249248.9
2016-07-20,2173.55,2178.0,2167.12,2163.11,145619.27,-8.28,-0.38,2183.624,2178.762,2151.967,223272.03,270115.29,247866.69
2016-07-19,2188.8,2193.57,2175.4,2163.31,218091.34,-12.58,-0.57,2189.758,2178.76,2149.399,280707.77,280091.81,247360.1
2016-07-18,2190.47,2205.8,2187.98,2184.05,295271.81,-4.41,-0.2,2194.748,2178.106,2145.857,317596.97,290590.4,245305.48
2016-07-15,2196.95,2200.88,2192.39,2186.36,215852.27,-2.84,-0.13,2188.296,2175.637,2141.669,315761.09,291925.25,236587.47
2016-07-14,2195.34,2199.84,2195.23,2184.49,241525.44,-2.56,-0.12,2179.57,2169.107,2137.159,311308.22,286472.83,234717.9
2016-07-13,2195.98,2222.25,2197.79,2191.59,432797.97,-2.56,-0.12,2173.9,2161.847,2132.138,316958.55,282674.8,231626.06
